,toxic,not_toxic
28811,"Yves could, of course, cut the curve up there, but don't worry, we thought - we've put the farmer out with an air rifle, and with a clear nod, we'll shoot him down once he sees the cheating.","Obviously, Yves could cut a corner up there, but don't worry, we've thought of that - we've put a farmer out there with an air rifle with strict orders to shoot him down if he sees any infringement."
28812,"If you want to go work at that jerk's company, then go ahead.","if you want to go to the company of the bad guys, go ahead."
28813,Holy crap!,holy Mother!
28814,I have the fastest butt in the land.,I have the fastest in the country!
28815,Are you even feeling this through this butt jungle of yours?,do you even feel it through the jungle you've got there?
28816,you're blowing him right in the face!,You're blowing fumes in his face!
28817,Why did you sign up for music? you're crazy.,and why did you write music?
28818,She fucking has Demerol?,did she have Demerol?
28819,What's the use if we're both miserable?,what good is it if we're both unhappy?
28820,"It's bad enough I'm taking a picture of my vagina, I'm doing it with an iPhone 3.","it's like it's not enough for me to take my picture, and I'm doing it with an iPhone 3."
28821,"well, for killing a vampire, I'm gonna get some money if it's legit, but it's not much.","Well, yeah I do get money for killing vampires if it's a legal kill, but it's not a lot of money."
28822,I'm cranky 'cause all my stuff is junk.,I'm annoyed because everything I've got is junk.
28823,"I hate their bunch ... wearing Spring Blades bestowed by His Majesty, but always with innocent blood on their hands.","they carry the blades that have given them His Majesty, but they have the blood of the innocent on their hands."
28824,"less talking, more fucking.","Less talking, more riding."
28825,What the hell is it?,what does that mean?
28826,"Frankel retorted: ""Stop throwing your shit at me, Sergeant.","Frankel said testily, ""Quit bellyaching your troubles to me, Sergeant."
28827,"I think Clay found the bug, thought Opie was cooperating, and he wanted to have him killed.",I think Clay found that wire... thought Opie was working with the feds... and then tried to have him killed.
28828,"They couldn't kill that bastard? ...still at large, wanted for possession of weapons... ...and in connection with the death of the policeman.",they couldn't even kill him?... wanted for illegal gun possession... and in connection with the death of a cop.
28829,let the pain and sperm come out.,"Let the pain, and the sperm, out."
28830,he screwed up!,Throw it! He bogarts it!
28831,"he's older...... completely dirty, without a whistle.","He's older... ...completely covered in filth, no whistle."
28832,"Shut up, man.","be quiet, man."
28833,not even a bullet in his head will stop him.,COP 2: Not even a bullet in the head could stop him.
28834,"hey, Ho Sang What the hell are you doing?","Hey, Ho Sang, what the hell you doing now?"
28835,"But if somebody rob me and end up dead... Well, you know, life is a motherfucker.","but if someone robbed me and died... well, you know how it is, life is a dog."
28836,we're killers that killed a lot of people.,We're assassins who've killed many people
28837,But I'm not some local moron.,but I'm not the local package.
28838,Can you imagine that motherfucker roaming around Parker Center?,can you imagine him wandering around the main building?
28839,Too many idiot metaphors.,too many metaphors.
28840,I'd turn into their grave.,I'd change into the grave.
28841,This demon only possesses the body of a virgin.,this demon can only possess a body of panic.
28842,that's a fucking good pension.,It's one hell of a pension plan.
28843,"Call the goddamn cops, now!",call the great cops!
28844,"indeed, you have managed to act as someone who must be regretted, for she is a miserable helpless, abandoned wife.",And who was altogether to be pitied as a poor little helpless abandoned wife.
28845,"Hey, look who's fuckin' here!","hey, look who's coming!"
28846,Houston lost the fucking!,we lost Houston!
28847,"no, she didn't, what the hell is this place?!","No, you didn't-- What the hell kind of place is this?!"
28848,"He's weak, and he'il be the end of all of us.","he's weak, and it's all over for us."
28849,You've got real brain matter in that titanium skull of yours.,you have a real brain inside a titanium skull.
28850,"I thought, “Life's a bitch.","I thought, ""Life is a dog."
28851,Listen to me. I am not saying that you can’t be... a real bona fide motherfucker in this business. But you got to do whatever it takes... and get people in to see your shows... where the music can start to do its real work.,"listen, I'm not saying that you can't be yourself in this business, but you have to do everything so you can get people to perform where the music comes to."
28852,"In mere weeks, your world willbe overrun by their scaly offspring.","in a few weeks, your world will be filled with their scaled descendants."
28853,"for this stupid mistake, Marko was designated as a whistle-blower.",For his unwitting mistake Marko was branded an informer.
28854,Or dan's not gonna be the only scott to kill his brother.,or Dan won't be the only Scott that killed his brother.
28855,"""are you crazy?""",'Are you mad?'
28856,Lawyers are a waste of oxygen. drop this deal.,the lawyers are a loss of oxygen.
28857,"fuck off, I never want to see you again!",I never want to see you again!
28858,'Lord Jingu thinks his men the best in the Empire and your Lord a stupid bull.,"'lord Jingu thinks his men are the best in the Empire, and that your lord is a blunt bull."
28859,"bye-bye, grumpy-ass skater.","And farewell, bareness Boogerface."
28860,"What are we gonna do, just fuck\xA1ng leave h\xA1m out here?","what are we gonna do, just leave him here?"
28861,Buddies and shit!,only friends and booze.
28862,But you are even crazier if youthink you'il get out of here without me!,but you're a lot bigger if you think you can get out of here without me!
28863,how do you guys do anything in addition to the kind of sexy stuff that treats me like a lick of pussy?,How you fellas get any work done with a hot piece of finger-licking chicken like that.
28864,poor bastard.,Poor hornet.
28865,"The first time that we had sex, it was so beautiful. I cried.","when we first loved each other, it was so beautiful...... I cried."
28866,They should hit you in 20 seconds.,they'll be with you in 20 seconds.
28867,a bigger cynic.,More cynical.
28868,it's fucking disgusting.,"It's disgusting, Let's get outta here,"
28869,I broke four ridges on your head!,I broke four combs on that head of hair!
28870,Why are you guys screwing with me?,why do you have to make fun of me?
28871,I need the fucking passWord.,I need the password.
28872,And what is that goddamn music?,what the hell kind of music is that?
28873,"you're looking at me quite ridiculous, tough guy.","You're looking at me a bit funny, big man."
28874,"""The key!"" ejaculated Phelps.","""key?"" Phelps blurted."
28875,"but this is Magnum 44, the most powerful gun in the world..... .Which would blow your brains out.","Since this is a.44 Magnum, the most powerful handgun in the world... ...and would blow your head clean off... ...you've got to ask yourself one question:"
28876,"""and extracts of donkey testicle.""",and extract from the donkey's bullets.
28877,Get your shit off my car.,get off my car.
28878,"I don't have... ""testicles.""","I don't have...""testiclés""."
28879,Damn near ruined everything.,and I nearly destroyed everything.
28880,"his friends and relatives stopped and argued, who went on before one fool approached me.",His friends and relatives stopped to quarrel over who got the prime ribs before a clot of them moved in my direction.
